Instancia;Literatura;GulosoGrupo10;TempoV1;TempoV2;TempoV3;TempoV3+O3;TempoV4+O3
pr124;50535;50535;1,145;0,082;0,065;0,007;0,001
pr136;88964;88964;1,461;0,1;0,075;0,009;0,001
pr144;49466;49466;2,869;0,144;0,114;0,014;0,002
d493;29272;29322;263,206;4,557;3,475;0,543;0,025
u574;32078;32117;511,614;7,388;5,629;0,906;0,035
rat575;6248;6056;593,217;8,676;6,962;1,066;0,034
d657;42590;42525;834,097;10,816;8,196;1,36;0,048
d1291;46931;46939;13421;87,929;69,064;11,937;0,237
d1655;56542;56551;x;187,322;148,499;24,669;0,395
d2103;76331;76331;x;483,031;394,641;65,86;0,649
